"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70849","create","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","56150","action menu","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","32874","filters","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","62815","Verify that the report 'Check 5 attributes' is created by filling all fields","create, view, delete Report","2026-09-01","failed","2026-09-01","","Create report with all fields filled","",""
"","66419","canceled create","Smoke tests","2026-09-01","failed","2026-09-01","","Report Page","",""
"","30568","Verify that data is filtered by Report type Check many attributes","create, view, Scheduler","2026-09-01","passed","2026-09-01","Verify that data is filtered by Report type Check many attributes","Filter by data","",""
"","31131","shows General section defaults and 11 specific-attribute fields with correct default states","Smoke tests","2026-09-01","passed","2026-09-01","Create Report dialog: 'Check many attributes' selected","Report Page","",""
"","36545","shows General section defaults and 5 empty specific-attribute fields","Smoke tests","2026-09-01","passed","2026-09-01","Create Report dialog: 'Check 5 attributes' selected","Report Page","",""
"","92527","Verify that data is filtered by report name 'Check 5 attributes' and by date","create, view, delete Report","2026-09-01","failed","2026-09-01","Filter reports","Tests with presetup","",""
"","75074","Verify that data is filtered by report name 'Check 5 attributes' and by string","create, view, delete Report","2026-09-01","failed","2026-09-01","Filter reports","Tests with presetup","",""
"","22163","Verify that data is filtered by Interval Weekly","create, view, Scheduler","2026-09-01","passed","2026-09-01","Verify that data is filtered by Interval Weekly","Filter by data","",""
"","55205","create scheduler dialog for Check 5 attributes","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","33952","Verify that check5attr reports is sorted by Number ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","19950","Verify that data is sorted by Creator descending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","39620","Verify button 'Schedule' in Scheduler 'Check 5 attributes' does not exist in Dom when an abligatory field 'Language' is not filled","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Create Scheduler","",""
"","32899","Verify that check5attr reports is sorted by Date descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","28613","start page","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","29995","Verify that data is filtered by Interval Daily","create, view, Scheduler","2026-09-01","passed","2026-09-01","Verify that data is filtered by Interval Daily","Filter by data","",""
"","30897","shows only Report Type field and disabled Create button","Smoke tests","2026-09-01","passed","2026-09-01","Create Report dialog: no Report Type selected","Report Page","",""
"","53622","filters","Smoke tests","2026-09-01","passed","2026-09-01","","Report Page","",""
"","33338","Verify that data is sorted by Creation Time ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting","Tests with presetup","",""
"","39067","Verify that check5attr reports is sorted by Creation Time descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","27138","Verify that data is filtered by format HTML","create, view, delete Report","2026-09-01","passed","2026-09-01","Filter reports","Tests with presetup","",""
"","34565","Verify that check5attr reports is sorted by Creator ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","22419","Verify that data is sorted by Interval descending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","37857","Verify that check5attr reports is sorted by Creation Time ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","27796","Verify that data is sorted by Scheduled Time ascending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","44857","Verify that warning icon is displayed if input date from past","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Create Scheduler","",""
"","42533","action menu for PDF format","Smoke tests","2026-09-01","passed","2026-09-01","","Report Page","",""
"","64303","info action","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","27156","Verify that data is sorted by Scheduled Time descending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","20645","Verify that data is sorted by Start Date ascending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","28605","Verify that check5attr reports is sorted by String ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","33764","info action","Smoke tests","2026-09-01","passed","2026-09-01","","Report Page","",""
"","46474","Verify that data is filtered by report type Check 5 attributes","create, view, delete Report","2026-09-01","passed","2026-09-01","Filter reports","Tests with presetup","",""
"","31206","Verify that check5attr reports is sorted by Date ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","41998","shows all 11 Check many attributes filter fields and swaps table headers accordingly","Smoke tests","2026-09-01","passed","2026-09-01","Report Type filter panel & table headers for 'Check many attributes'","Report Page","",""
"","28256","Verify that data is filtered by creation time Yesterday","create, view, delete Report","2026-09-01","passed","2026-09-01","Filter reports","Tests with presetup","",""
"","28430","Verify that 'View' window is opened","create, view, delete Report","2026-09-01","broken","2026-09-01","Actions","Tests with presetup","",""
"","42622","Verify that data is sorted by Creator descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting","Tests with presetup","",""
"","73947","Verify that data is filtered by report name 'Check 5 attributes' and by Int","create, view, delete Report","2026-09-01","failed","2026-09-01","Filter reports","Tests with presetup","",""
"","42888","canceled delete","Smoke tests","2026-09-01","passed","2026-09-01","","Report Page","",""
"","47772","start page","Smoke tests","2026-09-01","passed","2026-09-01","","Report Page","",""
"","41024","Verify that data is sorted by Creator ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting","Tests with presetup","",""
"","72904","Verify that Scheduler 'Check 5 attributes' is created filling all fields","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Create Scheduler","",""
"","26427","Verify that ""Edit"" window is opened","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Actions","",""
"","35579","Verify that data is sorted by Creation Time descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting","Tests with presetup","",""
"","35469","Verify that check5attr reports is sorted by Creator descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","66993","Verify that Scheduler ""Check 5 attributes"" is created filling all abligatory fields","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Create Scheduler","",""
"","36625","Verify that format in the ""Edit"" window is editable","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Edit Schedule","",""
"","45034","delete","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","45393","hides More/Hide Filters buttons and removes Check 5 attributes-specific columns","Smoke tests","2026-09-01","passed","2026-09-01","Report Type filter panel & table headers for 'All'","Report Page","",""
"","96691","Verify that data is filtered by report name 'Check 5 attributes' and by number","create, view, delete Report","2026-09-01","failed","2026-09-01","Filter reports","Tests with presetup","",""
"","26222","Verify that data is sorted by Start Date descending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","20501","Verify that data is sorted by Creator ascending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","37755","Verify that data is filtered by Format PDF","create, view, Scheduler","2026-09-01","passed","2026-09-01","Verify that data is filtered by Format PDF","Filter by data","",""
"","23025","Verify that ""Info"" window is opened","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Actions","",""
"","71520","Verify that the report can be downloaded","create, view, delete Report","2026-09-01","skipped","2026-09-01","Actions","Tests with presetup","",""
"","22012","Verify that data is sorted by Interval ascending","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Sorting","",""
"","57719","Verify that the report 'Check 5 attributes' is not created when a user clicks 'Cancel' button","create, view, delete Report","2026-09-01","failed","2026-09-01","","Report is not created","",""
"","41480","shows all 5 Check 5 attributes filter fields and swaps table headers accordingly","Smoke tests","2026-09-01","passed","2026-09-01","Report Type filter panel & table headers for 'Check 5 attributes'","Report Page","",""
"","36120","Verify that check5attr reports is sorted by Int descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","50961","Verify that the report 'Check 5 attributes' is created by filling only mandatory fields","create, view, delete Report","2026-09-01","failed","2026-09-01","","Create report with only mandatory fields filled (without deletion)","",""
"","38925","Verify that check5attr reports is sorted by Number descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","25272","Verify that the report 'Check many attributes' is created by filling only mandatory fields","create, view, delete Report","2026-09-01","passed","2026-09-01","","Create report with only mandatory fields filled (without deletion)","",""
"","29892","Verify that check5attr reports is sorted by Int ascending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","29463","Verify that data is filtered by creation time Today","create, view, delete Report","2026-09-01","passed","2026-09-01","Filter reports","Tests with presetup","",""
"","69261","edit","Smoke tests","2026-09-01","passed","2026-09-01","","SchedulerPage","",""
"","75013","Verify that report can be deleted","create, view, delete Report","2026-09-01","failed","2026-09-01","Actions","Tests with presetup","",""
"","39680","Verify that check5attr reports is sorted by String descending","create, view, delete Report","2026-09-01","passed","2026-09-01","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","28034","Verify that schedule is deleted","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Actions","",""
"","40583","Verify that data is filtered by Format HTML","create, view, Scheduler","2026-09-01","passed","2026-09-01","Verify that data is filtered by Format HTML","Filter by data","",""
"","47","Verify that the report 'Check many attributes' is created by filling all fields","create, view, delete Report","2026-09-01","skipped","2026-09-01","","Create report with all fields filled","",""
"","39003","delete","Smoke tests","2026-09-01","passed","2026-09-01","","Report Page","",""
"","79502","create","Smoke tests","2026-09-01","failed","2026-09-01","","Report Page","",""
"","35486","Verify that data is filtered by report type Check many attributes","create, view, delete Report","2026-09-01","passed","2026-09-01","Filter reports","Tests with presetup","",""
"","17595","Verify that data is filtered by Interval Monthly","create, view, Scheduler","2026-09-01","passed","2026-09-01","Verify that data is filtered by Interval Monthly","Filter by data","",""
"","35706","Verify that data is filtered by Report type Check 5 attributes","create, view, Scheduler","2026-09-01","passed","2026-09-01","Verify that data is filtered by Report type Check 5 attributes","Filter by data","",""
"","22086","Verify button 'Create' in report 'Check 5 attributes' does not exist in Dom when mandatory field 'Language' is not filled","create, view, delete Report","2026-09-01","passed","2026-09-01","","Report is not created","",""
"","35649","Verify that Scheduler 'Check many attributes' is created filling all abligatory fields","create, view, Scheduler","2026-09-01","passed","2026-09-01","","Create Scheduler","",""
"","30724","Verify that data is filtered by format PDF","create, view, delete Report","2026-09-01","passed","2026-09-01","Filter reports","Tests with presetup","",""
"","28241","Verify that 'Info' window is opened","create, view, delete Report","2026-09-01","broken","2026-09-01","Actions","Tests with presetup","",""
